Author,Article title,Issue,Date,Subject location,Subject keywords
"Thomas, Ned",The George Thomas era,1,Aug-1970,Wales;Scotland;,socialism;nationalism;
"Evans, Trefor E.",Peace-keeping and keeping the peace,1,Aug-1970,Middle east;,United Nations;peacekeeping;
"Morgan, Edwin",Can the thistle change its spots,1,Aug-1970,Scotland;,
"Iwan, Dafydd",What I understand by conservation,1,Aug-1970,Wales;,culture;
"Kelly, Tony",Islands of freedom,1,Aug-1970,,commune movement
"Jones, Gwyn","Jack Jones, May 1970",1,Aug-1970,,"Jones, Jack;"
"Tripp, John",The monster in Glamorgan,1,Aug-1970,Port Talbot;,steel industry;
"Hartmut, Leonard",Verdi and the nationa spirit,1,Aug-1970,,"Verdi, Guiseppe;music;"
"David, Rhys",Future of the Welsh Office,1,Aug-1970,,Eye on Wales (series);Welsh Office;
"Tomkins, C.R.",Constructing social accounts,1,Aug-1970,Wales;,Eye on Wales (series);social accounting;
"Williams, John Stuart",Rugby ritual and protest,1,Aug-1970,Wales;,Eye on Wales (series);rugby;
"Ellis, T.I.",Motoring in Cardiganshire,1,Aug-1970,Ceredigion;,Eye on Wales (series);
"Davies, Elwyn",Fly,1,Aug-1970,,poem;
"Ewart, Gavin",South Wales steel,1,Aug-1970,,poem;
"Garlick, Raymond",Judgement day,1,Aug-1970,,poem;
"Jones, T. Gwynn",Can y medd,1,Aug-1970,,poem;
"Jones, T. Gwynn",Song of the Mead (tr. Gwyn Williams),1,Aug-1970,,poem;
"Thomas, R.S.",farm-hand,1,Aug-1970,,poem;
"Thomas, R.S.",Welsh resort,1,Aug-1970,,poem;
"Williams, Gwyn",Song of the mead (tr.),1,Aug-1970,,poem;
"Thomas, Ned",The future of broadcasting,2,Oct-1970,Wales;,"broadcasting;future of broadcasting, the (symposium);"
"Davies, Aneirin Talfan",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Vaughan, Aled",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Llewelyn, Emyr",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Howell, Gareth",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"David, Rhys",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Morgan, Dyfnallt",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Serant, Paul",The rise of French regionalism,2,Oct-1970,France;,regionalism;
"Thomas, Ned",The chains around my feet (Kate Roberts),2,Oct-1970,,translation;
"Jones, Bobi",Why I write in Welsh,2,Oct-1970,,Welsh language;
"Wilson, Alistair",The sweet habit of the blood,2,Oct-1970,Aberdare;,
"Carnegy, Patrick",The limited revolution in Wagner production,2,Oct-1970,,"Wagner, Richard;"
"Finsh, Peter",The small press scene,2,Oct-1970,,small press publications;
"Morgan, Derec Llwyd",Dr Kate Roberts,2,Oct-1970,,"Roberts, Kate;"
"Jones, Selwyn",Ivander Griffiths and the Eisteddfod abroad,2,Oct-1970,,"eisteddfodau;Griffiths, Ivander;"
"Francis, Dai",Valley,2,Oct-1970,,
"Roberts, Hywel",The commercial radio line up,2,Oct-1970,Wales;,"Eye on Wales (series);broadcasting;radio, commercial"
"Madgwick, Peter",Cardiganshire politics,2,Oct-1970,,Eye on Wales (series);
"Griffiths, Non;Griffiths, Non",Cardiganshire politics,2,Oct-1970,Ceredigion;,Eye on Wales (series);
"Thomas, Elfyn",Bryncroes and the future of the rural school,2,Oct-1970,Bryncroes;,Eye on Wales (series);
"Thomas, John",Welsh language press survey,2,Oct-1970,,Eye on Wales (series);Welsh language;press;
"Williams, Diana Gruffydd",Guide to Welsh London,2,Oct-1970,London,Eye on Wales (series);Welsh London;
"Abse, Dannie",The case,2,Oct-1970,,poem;
"Bidgood, Ruth",News item,2,Oct-1970,,poem;
"Garlick, Raymond",Marseillaise,2,Oct-1970,France,poem;
"Perry, Alan",Pieces from hospital,2,Oct-1970,,poem;
"Nevin, Edward",The economic future of South Wales,3,Dec-1970,Wales,economy;
"Thomas, Ned",The air over Europe,3,Dec-1970,Europe;,broadcasting;
"Galt, A.V.",Closing a colliery,3,Dec-1970,Wattstown;Rhondda Fach;,coal;industry;collieries;
"Lee, Archie P.",Keeping a colliery open,3,Dec-1970,Brora;Scotland;,coal;industry
"Hughes, Goronwy Alun",Lightning on the Tatras,3,Dec-1970,Czechoslovakia;,
"Hughes, Glyn",The painting of Norman Adams,3,Dec-1970,,"Adams, Norman;"
"Williamson, Alison",The spreading forests,3,Dec-1970,,Forestry Commission;forestry;
"Zehetmayer, J.W.L.",The spreading forests,3,Dec-1970,,Forestry Commission;forestry;
"Picton, Bernard",A life of crime,3,Dec-1970,,crime-writing;detective stories;thrillers;
"Thomas, Roy",End of Regional Employment Premium,3,Dec-1970,,Eye on Wales (series);industry;Regional Employment Premium;
"Walker, Valerie",Cardiganshire politics,3,Dec-1970,,
"Thomas, Ned",Road signs campaign,3,Dec-1970,,Eye on Wales (series);Cymdeithas yr Iaith;road signs;Welsh Language Society;
"Morgan, Derec Llwyd",Road signs campaign,3,Dec-1970,,Eye on Wales (series);
"Davies, Eric",CLAW,3,Dec-1970,Wales;,consortium;local authorities;building;Eye on Wales (series);
"Llywarch, Hen",Pen Urien,3,Dec-1970,,poem;
"Llywarch, Hen",Urien's head (tr. Gwyn Williams),3,Dec-1970,,poem;
"Williams, Gwyn",Urien's head (tr.),3,Dec-1970,,poem;
"Ramsaran, John",Cultural variety and personal identity,4,Feb-1971,,bilingualism;culture;
"Edwards, Elizabeth",The fate of the language (Saunders Lewis),4,Feb-1971,,language;bilingualism;protest;translation;
"Lewis, Saunders",The fate of the language (tr. Elizabeth Edwards),4,Feb-1971,,language;bilingualism;protest;Welsh language;
"Garlick, Raymond",A short walk in the desert,4,Feb-1971,Wales;,bilingualism
"Chaoimh, Aidan Ni",The state of Irish,4,Feb-1971,Ireland,Irish;language;
"Ariel, S.A.",The is not a fairy tale,4,Feb-1971,,Hebrew;language;
"Morgan, Edwin",Registering the reality of Scotland,4,Feb-1971,,
"Coulthard, G.R.",The search for identity in the Caribbean,4,Feb-1971,Caribbean;,literature;
"Rees, Alwyn D.",Against university expansion,4,Feb-1971,,Eye on Wales (series);University of Wales;
"Hodges, Cyril",The interpreter,4,Feb-1971,,poem;
"Norris, Leslie",Rivers,4,Feb-1971,,poem;
"Ormond, John",Ancient monuments,4,Feb-1971,,poem;
"Wain, John",The Feng poems,4,Feb-1971,,poem;
"Webb, Harri",Enlli,4,Feb-1971,,poem;
"O'Brien, Conor Cruise",Peace and freedom,7,Aug-1971,,freedom;peace;revolution;
"Price, D.L.;Ward, J.P.",Wars of national liberation,7,Aug-1971,,nationalism;
"Jones, Dewi Morris",Left-wing nationalism in Brittany,7,Aug-1971,Brittany;,nationalism;Brittany;
"Mayo, Patricia Elton",Constitutional background of separatist movements,7,Aug-1971,,
"Brown, J.P.",Welcoming the Welsh-learner,7,Aug-1971,,Welsh language;learning;
"Pacey, Philip",Living in Wales (1),7,Aug-1971,,"Living in Wales (series);Wordsworth, William; "
"Connors, Bruton",Haiku,7,Aug-1971,,poem;
"Connors, Bruton",Hungry dog haiku,7,Aug-1971,,poem;
"Garlick, Raymond",Documentary,7,Aug-1971,,poem;
"Hooker, Jeremy",Jet over Mynydd Bach,7,Aug-1971,Mynydd Bach,poem;
"Tripp, John",Inquisition,7,Aug-1971,,poem;
"Webb, Harri",Marwnad for drums,7,Aug-1971,,poem;
"Webb, Harri",Wales 1970 (from the Breton of Paol Keineg),7,Aug-1971,,poem;
"John, H.R.",One day's work,8,Oct-1971,,
"Thomas, Ned",I will cling to that old Celtic cross,8,Oct-1971,Wales,design;
"Davies, Jeff",On the border,8,Oct-1971,England;,borders;
"Niven, Alastair",Mulk Raj Anand: the poetry of protest,8,Oct-1971,India;,"Anand, Mulk Raj;"
"O'Duibhir, Pol",The College of Europe,8,Oct-1971,Europe;,College of Europe;
"Jones, T. James",A bilingual Llaregyb,8,Oct-1971,,"Thomas, Dylan;"
"Holt, Eileen",The provincial not,8,Oct-1971,France;Provence;,language;education;
"Seymour, John",Living in Wales (2),8,Oct-1971,,Living in Wales (series);
"Mac Thomais, Frang",Radio Free Scotland,8,Oct-1971,Scotland;,broadcasting;radio;Radio Free Scotland;
Daniel Huws,The Brecon Master,8,Oct-1971,Brecon;,schools;
Parliameentary Correspondent,Towards a Select Committee,8,Oct-1971,,Eye on Wales (series);House of Commons;Welsh affairs;parliament;Welsh affairs;
"Bielski, Alison",Parachute jump,8,Oct-1971,,poem;
"Howells, Carol",The first nail,8,Oct-1971,,poem;
"Jones, John Idris",School voices,8,Oct-1971,,poem;
"Morgan, Robert",Leaving boys,8,Oct-1971,,poem;
"Tripp, John",On the border,8,Oct-1971,,poem;
"Sartre, Jean-Paul",The Burgos trials (tr. Harri Webb),9,Dec-1971,Basque provinces;Spain;France;,Basque nationalism;Burgos trials;ETA;Euzkadi Ta Azkatasuna;
Emrys ap Iwan,The true Welshman,9,Dec-1971,,national characteristics;Welsh language;Welshman;characteristics;.
"Baynes, Ken",The reinterpretation of culture,9,Dec-1971,,arts;Welsh Arts Council;
"Dumbleton, Bob",Cardiff people's paper,9,Dec-1971,Cardiff;,"newspapers;Cardiff people's paper;press, reporting;"
"Fishlock, Trevor",Reporting Wales,9,Dec-1971,,"Reporting Wales;Times, the"
"Cairncross, John",After the lock-out,9,Dec-1971,London,newspapers;
"Thomas, Ned",The Western mail - everybody's dilemma,9,Dec-1971,Wales;,newspapers;Western Mail;
"David, Tudor",A paper fit for exiles? The London Welshman,9,Dec-1971,,newspapers;London Welshman
"Stephens, Meic;Tripp, John;",Under two hats,9,Dec-1971,,"magazines, Wales;Welsh Arts Council;"
"Hopkin, Deian",Death of a Radical,9,Dec-1971,Wales;,newspapers;Radical;
"Garlick, Raymond",On the growing of Dock leaves,9,Dec-1971,,"Anglo-Welsh Review;Dock Leaves;magazines, Wales;"
"Llewellyn, Gwyn",Agony of a Welsh-speaking parasite in CF5 4TL,9,Dec-1971,Wales;,newspapers;
"Wiggins, John H.",Editorship in Wales,9,Dec-1971,,
Welsh Books Council,The publishers' Christmas,9,Dec-1971,Wales;,
"Ward, J.P.",Science,9,Dec-1971,,poem;
"Ormond, John",Ceri Richards root and branch,10,Feb-1972,,"Richards, Ceri;art;"
"Levin, Michael",To be a Gastarbeiter,10,Feb-1972,Germany;,Gastarbeiter;
"Jones, Peter Thorp",Kibbutzim and co-operatives,10,Feb-1972,Israel;,co-operatives;Kibbutzim;
"Lloyd, Tecwyn",Welsh public opinion and the First World War,10,Feb-1972,,World War I;
"Johnson, BS",Living in Wales,10,Feb-1972,Ceredigion;,Living in Wales (series);leadmines;public opinion;
"Maby, Tim",What's left but holes in the ground,10,Feb-1972,north Wales;,slate industry;
"Allen, Graham",Landore,10,Feb-1972,,poem;
"Conran, Anthony",Heron,10,Feb-1972,,poem;
"Conran, Anthony",To ask for a bugle,10,Feb-1972,,poem;
"Johnson, B.S.",Living in Wales (3),10,Feb-1972,,poem;
"Hergest, Red Book of",Baglawc byddin (tr. and commentary Gwyn Williams),10,Feb-1972,,poem;
"Williams, Gwyn",Baglawc byddin (tr.),10,Feb-1972,,poem;
"Lloyd, Tecwyn",Welsh literature and the first Wolrd War,11,May-1972,,World War I;Welsh literature;
"Thomas, Ned",Is 'Anglo-Welsh' Commonwelath literature?,11,May-1972,Commonwealth;,Commonwealth;literature;Anglo-Welsh literature;
"Lawrence, Esyllt Thomas",Unamuno the ambivalent Basque,11,May-1972,Basque provinces;Spain;France;,"Unamuno, Miguel de;"
"Ackerman, john",Invitation to tea,11,May-1972,,poem;
"Evans, Richard",Her visits,11,May-1972,,poem;
"Haycock, Marged",Four children,11,May-1972,,poem;
"Hodges, Cyril",Jack Jones,11,May-1972,,poem;
"James, Cliff",Welsh Homer,11,May-1972,Greece,poem;
"Thomas, Ned",Laws and orders,12,Jun-1972,,Welsh language;legal system;police;
"Ifans, Meinir","Cymdeithas yr Iaith, the courts and the police",12,Jun-1972,,Cymdeithas yr Iaith;Welsh Language Society;law;police;
Gronw ap Islwyn,"Cymdeithas yr Iaith, the courts and the polics",12,Jun-1972,,Cymdeithas yr Iaith;Welsh Language Society;law;police;
"Iwan, Dafydd","Cymdeithas yr Iaith, the courts and the police",12,Jun-1972,,Cymdeithas yr Iaith;Welsh Language Society;law;police;
"Morgan, W.J.",A Welsh Council for Civil Liberties,12,Jun-1972,Wales;,civil liberties;law;
"Rees, Ioan Bowen",The Welsh language and the courts,12,Jun-1972,,Welsh language;law;
"Rees, Alwyn D.",The judges and the language,12,Jun-1972,,Welsh language;law;
"Garlick, Raymond",The good tourist's guide to the courts,12,Jun-1972,,police;Welsh language;
"Williams, Phil",Yr Heddlu Cudd,12,Jun-1972,,police;
"Webb, Harri",Galicia,12,Jun-1972,Galicia;,
"Hailsham, Quintin Hogg, Lord;Davies, Margaret;",The magistrate's dilemma (letter to Mrs. margaret Davies),12,Jun-1972,,Welsh language;legal system;
"Luckin, Bill",Reforming the remand system,12,Jun-1972,,penal system;remand system;
"Hooker, Jeremy",Welsh ambassador,12,Jun-1972,,"Powys, John Cowper"
"Tripp, John",Mission,12,Jun-1972,,poem;
"Boyce, D.G.",Ulster - some consequences of devolution,13,Aug-1972,Ulster;Northern Ireland;,devolution;
Mac A'mhathghamhna,Scottish Gaeldom,13,Aug-1972,,pseudonymous;Scottish Gaeldom (series);
"Smith, Iain Crichton",Writing in Gaelic,13,Aug-1972,Scotland;Ireland;,Gaelic language;
"Fraser, Alastair",Survival of crofting,13,Aug-1972,Scotland;,crofting;
"Galbraith, Carol",Gaelic music,13,Aug-1972,Scotland;Ireland;,Gaelic music;
Welsh Books Council,The publishers' Eisteddfod,13,Aug-1972,Wales;,publishing;Welsh Books Council;
"Richards, Ken",The transport problem,13,Aug-1972,,Eye on Wales (series);transport;
"Partridge, Simon",Community Arts manifesto,13,Aug-1972,,Eye on Wales (series);arts;National Arts Centre;
"MacThomais, Ruardaidh",Blood,13,Aug-1972,,poem;
"MacThomais, Ruardaidh",Fuil,13,Aug-1972,,poem;
"Pook, John",Celtic storm,13,Aug-1972,,poem;
"Thomson, Derrick",Blood,13,Aug-1972,,poem;
"Thomson, Derrick",Fuil,13,Aug-1972,,poem;
"Thomas, Ned",Socialism and the two-Wales model,14,Oct-1972,,Cymdeithas yr Iaith;politics;socialism;Welsh language;Welsh Language Society;
"Nisbet, Robert",After the Eisteddfod,14,Oct-1972,,eisteddfodau;National Eisteddfod;
"Williams, Gareth",Fields of praise,14,Oct-1972,Wales;,rugby;
"Jolley, Allan",Living in Wales (4),14,Oct-1972,,Living in Wales (series)
"Ellis, Mary",Carl Meyer in Wales,14,Oct-1972,,"Meyer, Carl;"
"Chalfont, Alun, Lord",The National arts Centre,14,Oct-1972,,Eye on Wales (series);arts;National Arts Centre;
"Conran, Anthony",An unmusical nation,14,Oct-1972,,Eye on Wales (series);music;recording;
"Salter, Geoffrey",Broadcasting - the technical background,14,Oct-1972,,Eye on Wales (series);broadcasting;
"Cookee, Philip",Gilfach revisited,14,Oct-1972,Gilfach Goch;,Eye on Wales (series);
"Lewis, Saunders",Ascension Thursday (tr. Gwyn Williams),14,Oct-1972,,poem;
"Lewis, Saunders",Difiau ddycrchafael,14,Oct-1972,,poem;
"Palfrey, Colin",A tourist's guide to Wales,14,Oct-1972,,poem;
"Rowlands, John G.",I am a painting,14,Oct-1972,,poem;
"Tripp, John",Valley,14,Oct-1972,,poem;
"Williams, Gwyn",Ascension Thursday (tr.),14,Oct-1972,,poem;
"Williams, John Stuart",Woodsmoke,14,Oct-1972,,poem;
"Hodgkin, Thomas",The radical tradition in African history,15,Dec-1972,Africa;,radicalism;
"Davey, Charles",The urge to be huge,15,Dec-1972,,containerisation;industry;standardisation;
"Boothby, F.A.C.",A guide to post-war Scottish nationalism,15,Dec-1972,Scotland;,nationalism;
"Walden-Jones, D.R.",Another English language case: Minister of Posts and Telecommnications v Harbottle 1st April 1075,15,Dec-1972,Wales;,broadcasting;television;
"Bridgen, Jim",Living in Wales (5),15,Dec-1972,,Living in Wales (series)
"Lipman, Beata",Diary of a Welsh Liberationist,15,Dec-1972,,women;
"Thomas, Roger",Motorway madness,15,Dec-1972,,motorway travel;
"Thomas, Ned",The radio lecture,15,Dec-1972,Wales;,Eye on Wales (series);broadcasting;
"Murgatroyd, Steve",Higher education strategy,15,Dec-1972,Wales,Eye on Wales (series);higher education;University of Wales;
"Bidgood, Ruth",Boy in a train,15,Dec-1972,,poem;
"Fulton, Robin",Three poems (tr.),15,Dec-1972,,poem;
"Griffiths, Vivian",Dylanstownie,15,Dec-1972,,poem;
"Jones, Sally Roberts","Caretaker, Blarney Castle",15,Dec-1972,Blarney Castle,poem;
"Jones, Sally Roberts","Language protest, Llangefni",15,Dec-1972,Llangefni,poem;
"Jones, Sally Roberts",Learning Welsh,15,Dec-1972,,poem;
"Jones, Sally Roberts",The lost world,15,Dec-1972,,poem;
"Jones, Sally Roberts",New world,15,Dec-1972,,poem;
"Lewis, Mark","Home thoughts from Beirut, May 1967",15,Dec-1972,Beirut,poem;
"Perry, Alan",Dockland sketch book,15,Dec-1972,,poem;
"Pierce, James",The thespian's last performance,15,Dec-1972,,poem;
"Preece, Peter",Gower is a dirty word,15,Dec-1972,,poem;
"Preece, Peter",Welsh jail-break,15,Dec-1972,,poem;
"Transtromer, Tomas",Three poems (tr. Robin Fulton),15,Dec-1972,,poem;
"Neale, Gwyn",Living in Wales (6),16,Feb-1973,,Living in Wales (series)
"Goulet, Denis A.",Notes on intercultural relations,16,Feb-1973,Canada;,UNESCO;Symposium of Linguisitic and Cultural Diversity;culture;
"Jones, Bobi",Anglo-Welsh: more definition,16,Feb-1973,,Anglo-Welsh literature;
