Place,"nothing","geo"
Offa's Dyke,,"52.34578710811348, -3.052129680422559"
La Palma,,"28.71089355894497, -17.907932598329154"
Preseli,,"51.95821374324727, -4.783655165078728"
United States of America,,"39.732523894618886, -101.93067940818096"
Tanat Valley.,,"52.80292941780594, -3.2915858042697623"
Eastern Europe,,"51.94945642411385, 21.00163327853362"
German Democratic Republic,,"50.11877338192141, 8.839525398230329"
Rhymney Valley,,"51.62211854902984, -3.238763382652963"
Snowdonia National Park,,"53.004734599238134, -3.9497400897875106"
Rhondda Valley,,"51.61643998142886, -3.424931076951908"
East Germany,,"51.33730423963608, 13.088548589226592"
Dolbadarn,,"53.11659555848632, -4.113950324695056"
north Africa,,"33.40914581503437, 8.84675707142719"
Arabian Gulf,,"26.79706144886063, 51.47606350889435"
middle east,,"33.329312193884135, 44.40767074821664"
Bosnia and Herzgovina,,"44.18334401282664, 17.89236802309316"
Taff Ely,,"51.52450259870191, -3.3933832140558713"
Shetland Isles,,"60.33096176685374, -1.2447269183229919"
Cazenovia College,,"42.93208827626335, -75.85394850536386"
Massachusetts Institute of Technology,,"42.36011476249318, -71.09425656119645"
Puerto Madryn,,"-42.681635920128485, -65.11317466131769"
Nottingham Lake Garda,,"52.96434242219139, -1.1549569653789467"
"Newtown, Powys",,"52.51647201241946, -3.310648947874488"
Kentucky,,"38.240995652329225, -85.77418139609539"
Chepstow to Sudbrook,,"51.61886855853934, -2.706542831498609"
Arkansas,,"34.7196801584514, -92.2801680402579"
Stumble head,,"52.017088455768295, -5.065894246627802"
"Odisha, India",,"20.15021256920571, 84.42392963431934"
"St John's Chuch, Barmouth",,"52.723449964239656, -4.055061730260553"
"Cardiff, Cape Verde",,"51.508711371644274, -3.1761444332693145"
"National Museum, Cardiff",,"51.508711371644274, -3.1761444332693145"